drug_name,form,indication,prescription_raw,method
小儿咳喘冲剂,颗粒剂,清热宣肺，化痰止咳，降逆平喘。用于小儿发热，咳嗽，气喘,麻黄 100g、黄芩 30g、石膏 50g、僵蚕（炒）60g、茶叶 30g、川贝母 50g、天竺黄 60g、山楂（炒）5g、甘草 30g、鱼腥草 120g、苦杏仁（炒）50g、莱菔子（炒）60g、紫苏子（炒）60g、细辛 5g、桔梗 50g,以上十五味，取川贝母粉碎成细粉；细辛、鱼腥草提取挥发油，蒸馏后的水溶液另器保存；药渣与其余麻黄等十二味加水煎煮二次，每次 1.5 小时，合并煎液，滤过，滤液与上述水溶液合并，浓缩至相对密度为 1.38~1.40（85~90℃）的清膏，取清膏 1 份，加蔗糖 2.2 份、糊精 0.5 份，加入川贝母细粉，混匀，制成颗粒，干燥，喷加细辛、鱼腥草挥发油，混匀，即得
小儿健胃糖浆,糖浆剂,健脾消食，清热养阴。用于脾胃阴虚所致的食欲减退，消化不良,沙参 15g、稻芽 15g、白芍 15g、玉竹 15g、麦芽（炒）15g、山楂 10g、麦冬 10g、陈皮 4g、荷叶 15g、牡丹皮 4g、山药 15g,以上十一味，加水煎煮二次，每次 2 小时，合并煎液，滤过，滤液浓缩至适量，加入乙醇使含醇量为 60%，静置，滤过，滤液回收乙醇，备用。另取蔗糖 650g，制成单糖浆，加入上述备用液中，加水调整总量至 1000ml，加入防腐剂及焦糖适量，搅匀，即得
小儿消积化虫散,散剂,消积化虫。用于食积、乳积、虫积，面黄肌瘦，毛发不泽，食欲不振，腹胀腹痛等症,茯苓 200g、海螵蛸 100g、鹤虱 50g、槟榔 50g、雷丸 50g、三棱（醋制）50g、莪术（醋制）50g、鸡内金（炒）50g、使君子（去壳）50g、红花 30g,以上十味，粉碎成细粉，过筛，混匀，即得
小儿惊安丸,丸剂,镇惊安神，豁痰清热。用于小儿惊风，痰涎蕴盛，气促不安,牛黄 15g、麝香 18g、僵蚕 90g、全蝎（酒洗，去头尾足）90g、天麻 90g、朱砂 39g、升麻 90g、天花粉 150g、葶苈子 90g、防风 90g、葛根 150g、麻黄 60g、冰片 15g、茯苓 90g、黄连 90g、琥珀 60g,以上十七味，除牛黄、麝香、冰片外，朱砂水飞或粉碎成极细粉，其余天竺黄等十三味粉碎成细粉；将牛黄、麝香、冰片研细，与其他细粉配研，过筛，混匀。另取生姜 120g，竹沥 150g，加水煎煮，用煎液泛丸，以朱砂包衣，低温干燥，即得
小儿健脾贴膏,膏剂,疏通经络，温中健脾。用于小儿消化不良,丁香 52g、吴茱萸 52g、五倍子 52g、磁石 90g、冰片 5.5g、麝香 0.2g,以上六味，将麝香、冰片研细，其余丁香等四味粉碎成细粉，过筛，与上述细粉配研，混匀。加入凡士林、甘油适量，使成 40g，搅匀，涂于胶布上，盖衬，切成小块，制成 1000 贴，即得
小儿清肺化痰口服液,口服液,清热化痰，止咳平喘。用于小儿肺热感冒引起的呼吸气促，咳嗽痰喘，喉中作响,麻黄 90g、前胡 225g、黄芩 225g、紫苏子（炒）225g、石膏 675g、苦杏仁（去皮炒）225g、葶苈子 279g、竹茹 225g,以上八味，石膏加水煎煮 1 小时后，加入麻黄等七味（葶苈子包煎），加水煎煮二次，每次 1 小时，合并煎液，滤过。滤液浓缩至相对密度为 1.18~1.22（50℃）的清膏，加乙醇使含醇量达 70%，搅匀，静置 48 小时，滤过，滤液回收乙醇至无醇味，加单糖浆 500ml，蜂蜜 200g，山梨酸 2g，调整总量至 1000ml，搅匀，滤过，灌封，灭菌，即得
小儿喜食糖浆,糖浆剂,健脾，消食，化积。用于治疗小儿单纯性消化不良，食欲不振及消化不良引起的腹泻,六神曲（炒）77g、枳壳（炒）39g、白术（炒）39g、山楂 59g、稻芽（炒）192g、麦芽（炒）192g,以上六味，取六神曲、麦芽、稻芽加水煮沸后，于 80~90℃温浸二次，每次 2 小时，合并浸液，静置，滤过。另取白术、枳壳、山楂加水煎煮二次，每次 1.5 小时，合并煎液，静置，滤过，滤液与上述滤液合并，混匀，浓缩至适量，加入蔗糖 650g 及防腐剂适量，煮沸，滤过，加水调整总量至 1000ml，混匀，即得
小儿磨积片,片剂,消食积，和胃，止呕，舒气宽胸。用于小儿消化不良，停乳，呕吐,泽泻 100g、半夏 50g、山楂 100g、茯苓 100g、白术 100g、陈皮 100g、苍术 50g、厚朴 50g、甘草 50g、广藿香 50g、干酵母 100g、糖化素 10g,以上十二味，除干酵母、糖化素外，泽泻、半夏粉碎成细粉，过筛；山楂、茯苓加水煎煮二次，合并煎液，浓缩成膏；其余陈皮等六味用 60% 乙醇回流提取二次，每次 1 小时，合并乙醇提取液，滤过，滤液回收乙醇，浓缩成膏。将水、醇浓缩膏合并，加入泽泻等粉末及辅料适量，混匀，制成颗粒，干燥，加入干酵母、糖化素，混匀，压制成 1270 片，包糖衣，即得
开胸消食片,片剂,开胸顺气，健胃消食。用于胸腹胀满，消化不良，呕吐恶心，停食蓄水，红白痢疾,熟大黄 96g、甘草 32g、乌药 96g、青皮 96g、麦芽 64g、枳实 64g、山楂 64g、槟榔 64g、厚朴 64g、莱菔子 64g、木香 96g、六神曲 64g,以上十二味，熟大黄粉碎成细粉，备用；槟榔适当破碎，用水浸泡至透心，连同浸液煎煮二次，第一次 3 小时，第二次 2 小时；甘草、山楂加水煎煮二次，每次 2 小时；麦芽加水煮沸后温浸二次，第一次 2 小时，第二次 1 小时，合并上述水煎液及温浸液，浓缩至相对密度为 1.24~1.35（30~40℃）的清膏；乌药、青皮、厚朴、枳实、莱菔子、木香照流浸膏剂与浸膏剂项下的渗漉法（附录 17 页），用 60% 乙醇（7 倍量）作溶剂，渗漉 54 小时；神曲用 25% 乙醇 7 倍量浸渍 7 天，滤过；合并上述漉液及浸渍液，回收乙醇，浓缩至相对密度为 1.22~1.3（30~40℃）的清膏，合并上述清膏，加入熟大黄细粉及辅料适量，混匀，制成颗粒，干燥，压制成 1150 片，即得
天黄猴枣散,散剂,除痰定惊，祛风清热。用于小儿痰多咳喘，发热不退，惊悸不眠等症,天竺黄 25g、天麻（制）25g、猴枣 2.5g、珍珠 15g、胆南星 25g、僵蚕 15g、冰片 5.0g、薄荷脑 0.05g、牛黄 7.5g、珍珠层粉 14.95g、全蝎 15g,以上十一味，猴枣、珍珠、全蝎、僵蚕、胆南星、天竺黄、天麻分别粉碎成细粉，将薄荷脑、冰片及牛黄研细，与珍珠层粉及上述各粉末混匀，过筛，分装，即得
木瓜片,片剂,散风祛湿，活络止痛。用于风寒湿痹，四肢麻木，周身疼痛，腰膝无力，步履艰难,木瓜 80g、当归 80g、川芎 80g、白芷 80g、威灵仙 80g、狗脊（制）40g、牛膝 160g、鸡血藤 40g、海风藤 80g、人参 40g、制川乌 40g、制草乌 40g,以上十二味，白芷粉碎成细粉，过筛；木瓜、川乌、草乌、海风藤、威灵仙、鸡血藤、狗脊加水煎煮二次，合并煎液，滤过，滤液浓缩成稠膏；其余当归等四味，照流浸膏剂与浸膏剂项下的渗漉法（附录 17 页），当归依次用乙醇、60% 乙醇、川芎用 60% 乙醇、牛膝、人参用 25% 乙醇为溶剂，分别进行渗漉。合并以上各渗漉液，回收乙醇，浓缩成稠膏。将水、醇浓缩膏合并，加入白芷粉末及辅料适量，混匀，制成颗粒，干燥，压制成 750 片，即得
木香理气片,片剂,行气宽中，化滞通便。用于气郁不舒，停食停水，胸胁痞闷，脘腹胀满，恶心呕吐，倒饱嘈杂，大便秘结,木香 48g、香附（醋炙）96g、乌药 96g、青皮（醋炙）48g、陈皮 96g、枳实 96g、枳壳 96g、厚朴（姜汁炙）96g、三棱（醋炙）24g、莪术（醋煮）24g、山楂 96g、槟榔 96g、吴茱萸（制）12g、肉桂 12g、甘松 12g、桔梗 48g、黄芩 96g、大黄 48g、牵牛子（炒）48g,以上十九味，木香、大黄粉碎成细粉，过筛，陈皮、枳实、枳壳、甘松提取挥发油后，药渣与乌药、青皮、三棱、莪术、山楂、槟榔、吴茱萸、桔梗、黄芩等九味加水煎煮二次，第一次 3 小时，第二次 2 小时，滤过，合并滤液；香附、厚朴、肉桂、牵牛子用 70% 乙醇加热回流提取二次，每次 1.5 小时，合并提取液，回收乙醇，与上述滤液合并，减压浓缩成稠膏状，加入木香、大黄细粉及辅料适量，混匀，制成颗粒，低温干燥，喷加陈皮、枳实等挥发油，混匀，压制成 1000 片，包糖衣，即得
五苓片,片剂,温阳化气，利湿行水。用于小便不利，水肿腹胀，呕逆泄泻，渴不思饮,茯苓 180g、泽泻 300g、猪苓 180g、桂枝 120g、白术 180g,以上五味，取茯苓 90g 粉碎成细粉；桂枝和白术蒸馏提取挥发油，蒸馏后的水溶液另器保存；药渣及剩余茯苓与其余泽泻等二味加水煎煮二次，合并煎液及蒸馏后的水溶液，滤过，滤液浓缩成稠膏，加入上述细粉，混匀，干燥，制成颗粒，干燥，加入上述挥发油，混匀，压片，即得
止泻灵片,片剂,清热利湿，健脾，涩肠止泻。用于急性肠炎，小儿消化不良，单纯性腹泻,五倍子（炒）25g、鸡矢藤 375g、车前草 250g、儿茶 25g、伏龙肝 300g、陈皮 150g、党参 75g、地胆草 300g、滑石粉 150g、白术（炒）300g、莱菔子（炒）75g,以上十一味，加水煎煮二次，第一次 1 小时，第二次 45 分钟，合并煎液，滤过，滤液浓缩至适量，放冷，加入乙醇 1.5 倍量，搅匀，静置 24 小时，滤过，滤液浓缩成膏，烘干，粉碎成细粉，加入辅料适量，制成颗粒，压制成 1000 片，包糖衣，即得
止泻灵糖浆,糖浆剂,清热利湿，健脾，涩肠止泻。用于急性肠炎，小儿消化不良，单纯性腹泻,五倍子（炒）10g、鸡矢藤 150g、车前草 100g、儿茶 10g、伏龙肝 120g、陈皮 60g、党参 30g、白术（炒）60g、莱菔子（炒）30g、地胆草 120g、滑石粉 120g,以上十一味，加水煎煮二次，第一次 1 小时，第二次 45 分钟，合并煎液，滤过，滤液浓缩至适量，放冷，加入乙醇 1.5 倍量，搅匀，静置 24 小时，滤过，滤液浓缩至适量。另取蔗糖 650g，加水适量，煮沸溶解，滤过，加入上述浓缩液及枸橼酸、香精适量，加水调整总量至 1000ml，即得
止嗽化痰丸,丸剂,清肺止嗽，化痰定喘。用于久嗽，咳血，痰喘气逆，喘息不眠,知母 25g、大黄（制）25g、石膏 50g、葶苈子 25g、玄参 25g、天冬 25g、瓜蒌子 25g、马兜铃（制）25g、麦冬 25g、前胡 25g、甘草（炙）25g、苦杏仁 37.5g、款冬花（制）25g、五味子（制）15g、半夏（姜制）25g、桑叶 25g,以上二十五味，粉碎成细粉，过筛，混匀，用水泛丸，干燥，打光，即得
止嗽片,片剂,疏风解表，止咳化痰。用于感冒引起的咳嗽，咯痰不爽等,紫菀（制）222g、白前 222g、荆芥 222g、甘草 111g、百部（制）111g、桔梗 222g、陈皮 111g,以上七味，桔梗粉碎成细粉，其余百部等六味加水煎煮二次，第一次 3 小时，第二次 2 小时，合并煎液，滤过，滤液浓缩至相对密度为 1.28（80℃）的清膏。将桔梗细粉与清膏混匀，制成颗粒，低温干燥，压制成 1000 片，包糖衣，即得
止嗽青果丸,丸剂,宣肺化痰，止咳定喘。用于风寒束肺引起的咳嗽痰盛，胸膈满闷，气促作喘，口燥咽干,西青果 288g、麻黄 96g、苦杏仁（去皮炒）168g、石膏 48g、甘草 62.4g、紫苏子（炒）360g、紫苏叶 144g、半夏（制）576g、浙贝母 144g、桑白皮（蜜制）192g、白果仁 480g、黄芩 192g、款冬花 144g、冰片 17.2g,以上十四味，除冰片外，其余西青果等十三味粉碎成细粉，过筛，混匀，与冰片配研均匀，过筛。每 100g 粉末加炼蜜 110~120g 制成大蜜丸，即得
牛黄消炎灵丸,丸剂,消炎退热，通窍，镇静，降压安神。适用于病毒性感冒，上呼吸道感染，肺炎、气管炎及其它细菌病毒感染引起的高热不退等症,牛黄 125g、盐酸小檗碱 15g、黄芩 667g、栀子 218g、朱砂 175g、珍珠母 100g、郁金 231g、雄黄 175g、冰片 70g、石膏 250g、水牛角浓缩粉 334g,以上十一味，除牛黄、盐酸小檗碱、水牛角浓缩粉、冰片外，石膏、朱砂、珍珠母、雄黄分别粉碎成极细粉；郁金加水煎煮 1 小时后，加入黄芩、栀子，加水适量，继续煎煮二次，第一次 2 小时，第二次 1.5 小时，合并煎液，滤过，滤液浓缩至相对密度为 1.25~1.26（80℃）的清膏，真空干燥，粉碎成细粉；将牛黄、盐酸小檗碱、水牛角浓缩粉、冰片研细，与上述粉末配研，过筛，混匀，每 100g 粉末加炼蜜 55~65g 制成浓缩丸，即得
牛黄消炎灵胶囊,胶囊剂,消炎退热，通窍，镇静，降压安神。适用于病毒性感冒，上呼吸道感染，肺炎、气管炎及其它细菌病毒感染引起的高热不退等症,牛黄 125g、盐酸小檗碱 15g、黄芩 667g、栀子 218g、朱砂 175g、珍珠母 100g、郁金 231g、雄黄 175g、冰片 70g、石膏 250g、水牛角浓缩粉 334g,以上十一味，除牛黄、盐酸小檗碱、水牛角浓缩粉、冰片外，石膏、朱砂、珍珠母、雄黄分别粉碎成极细粉；郁金加水煎煮 1 小时后，加入黄芩、栀子，加水适量，继续煎煮二次，第一次 2 小时，第二次 1.5 小时，合并煎液，滤过，滤液浓缩至相对密度为 1.25~1.26（80℃）的清膏，真空干燥，粉碎成细粉；将牛黄、盐酸小檗碱、水牛角浓缩粉、冰片研细，与上述粉末配研，过筛，混匀，装入胶囊，制成 35000 粒，即得
丹皮酚软膏（丹皮酚霜）,膏剂,抗过敏药，有消炎止痒作用。用于各种湿疹，皮炎，皮肤瘙痒，蚊臭虫叮咬红肿等各种皮肤疾患，对过敏性鼻炎和防治感冒也有一定效果,丹皮酚 50g、丁香油 7ml（按密度 0.87g/ml 计，约 6.09g）,取由硬脂酸 110g、碳酸钾 9g、单硬脂酸甘油脂 25g、三乙醇胺 3ml、甘油 100g、水 720ml 制成的基质，加热至 70℃，加入上述二味药，混匀，即得
丹参片,片剂,活血化瘀，清心除烦。用于冠心病引起的心绞痛及心神不宁,丹参 1000g,取丹参 1000g，加 90% 乙醇回流 1.5 小时，滤过，滤液回收乙醇；药渣加水煎煮 1 小时，滤过；合并上述滤液，浓缩至相对密度为 1.30（90℃）的清膏，加淀粉适量，混匀，干燥，制成颗粒，压制成 1000 片，包糖衣，即得
巴戟补肾丸,丸剂,补肾填精，益气养血。用于肾亏阳痿，头晕目眩，耳鸣，四肢酸软，腰膝酸痛,巴戟肉 377g、枸杞子 236g、芡实 565g、当归 190g、制何首乌 565g、牛膝 190g、山药（蒸晒）377g、泽泻（盐水炒）190g、狗脊（去毛）377g、菟丝子（盐水炒）190g、党参 377g、杜仲（盐水炒）94g、甘草（炙）94g、韭菜子 47g、肉苁蓉（制）94g、天花粉 236g、远志（甘草制）23g、白术（蒸晒）94g、熟地黄 190g,以上十九味，粉碎成细粉，过筛，混匀。每 100g 粉末加炼蜜 90~110g 制成小蜜丸或大蜜丸，即得
龙荟丸,丸剂,泻火通便。用于肝胆火旺，大便秘结，小便赤涩,龙胆 100g、芦荟 50g、当归 100g、大黄 50g、栀子 100g、黄芩 100g、青黛 50g、木香 25g,以上八味，粉碎成细粉，过筛，混匀。用水泛丸，干燥，即得
石吊兰片,片剂,清热解毒，软坚散结。用于淋巴结结核,石吊兰 4000g,取石吊兰 4000g，加水煎煮二次，每次 1.5 小时，合并煎液，滤过，滤液浓缩成清膏，加淀粉适量，混匀，干燥，制成颗粒，压制成 1000 片，包糖衣，即得
平胃丸,丸剂,燥湿健脾，宽胸消胀。用于脾胃湿盛，不思饮食，脘腹胀满，恶心呕吐，吞酸嗳气,苍术（炒）160g、甘草（炙）20g、厚朴（制）100g、陈皮 20g、大枣 4g、生姜 3g,以上四味，粉碎成细粉，过筛，混匀。另取大枣 4g、生姜 3g 煎汁，以汁泛丸，干燥，即得
甲亢灵片,片剂,平肝潜阳，软坚散结。用于具有心悸、汗多、烦躁易怒、咽干、脉数等症状的甲状腺机能亢进症,墨旱莲 90g、丹参 90g、夏枯草 90g、山药 90g、龙骨（煅）180g、牡蛎（煅）180g,以上六味，取山药 9g，粉碎成细粉，过筛；龙骨、牡蛎加水煎煮三次，每次 2 小时，合并煎液，滤过；剩余的山药与墨旱莲、丹参、夏枯草加水煎煮三次，每次 2 小时，合并煎液，滤过，滤液浓缩至相对密度约为 1.10（60~70℃），加乙醇 2 倍量，搅匀，放置约 10 小时，滤过，滤液回收乙醇至无醇味，加入上述龙骨、牡蛎煎液，混匀，浓缩至相对密度约为 1.40（95~100℃）的膏，加入上述山药细粉，混匀，干燥，粉碎，过筛，制粒，压制成 900 片，包糖衣，即得
田七痛经散,散剂,通调气血，止痛调经。用于经期腹痛及因寒所致的月经失调,三七 3g、五灵脂 3g、蒲黄 2.75g、延胡索 3g、川芎 3g、木香 2g、小茴香 3g、冰片 0.25g,以上八味，除冰片外，其余三七等七味，粉碎成细粉，将冰片研细，与上述粉末混合，过筛，混匀，即得
田七痛经胶囊,胶囊剂,通调气血，止痛调经。用于经期腹痛及因寒所致的月经失调,三七 3g、五灵脂 3g、延胡索 3g、川芎 3g、小茴香 3g、冰片 0.25g、木香 2g、蒲黄 2.75g,以上八味，除冰片外，其余三七等七味粉碎成细粉，将冰片研细，与上述粉末混合，过筛，混匀，装入胶囊，即得
四藤片,片剂,祛风利湿，消炎镇痛。用于风湿性关节炎,异型南五味子 1250g、忍冬藤 1250g、春根藤 625g、石蒲藤 625g,以上四味，异型南五味子、忍冬藤、春根藤加水煎煮二次，每次 2 小时，合并煎液，滤过；滤液浓缩至适量，加乙醇使含醇量约为 50%，搅匀，静置，滤过；石蒲藤用 2% 盐酸溶液煎煮二次，合并煎液，滤过，滤液用 10% 碳酸钠溶液中和，滤过；滤液浓缩至适量，加乙醇使含醇量约为 60%，搅匀，静置，滤过，合并上述滤液，回收乙醇并浓缩成稠膏，加辅料适量，制成颗粒，压制成 1000 片，即得
生茂午时茶,茶剂,解表和中。用于感受风寒，内伤食积，寒热吐泻,广藿香 24g、青蒿 30g、白芷 18g、甘草 12g、川芎 18g、山楂 18g、独活 18g、紫苏叶 30g、厚朴 18g、砂仁 7.5g、大腹皮 24g、麦芽 18g、黄芩 24g、枳壳 12g、虫屎茶 57g、陈皮 24g、扁豆 18g、石菖蒲 18g、前胡 24g、荷叶 15g、羌活 18g、干姜 9g、防风 9g、法半夏 18g、香薷 15g、葛根 24g、桔梗 18g、茯苓 24g、苍术 10.5g、五指柑 360g、岗梅 30g、柴胡 9g,以上三十二味，粉碎成粗粉，混匀，即得
生脉饮（党参方）,口服液,益气复脉，养阴生津。用于气阴两亏，心悸气短，脉微自汗,党参 300g、麦冬 200g、五味子 100g,以上三味，加水煎煮二次，第一次 2 小时，第二次 1.5 小时，合并煎液，滤过，滤液浓缩至约 300ml，放冷，加乙醇 600ml，放置 24 小时，滤过，滤液减压浓缩成稠膏状，加水适量稀释，滤过，另加单糖浆 300ml 及防腐剂适量，加水至 1000ml，搅匀，静置，滤过，灌封，灭菌，即得
失笑散,散剂,祛瘀止痛。用于瘀血阻滞，胸脘疼痛，产后腹痛，痛经,蒲黄（炒）250g、五灵脂（醋炒）250g、大黄 250g,以上三味，粉碎成粗粉，过筛，混匀，即得
白带净丸,丸剂,健脾利湿，清热止带。用于湿热下注，赤白带下,茯苓 100g、山药 100g、龙骨（煅）50g、牡蛎（煅）50g、芡实 100g、赤石脂 50g、肉豆蔻（煨）50g、杜仲（盐炒）50g、青黛 50g、黄柏 50g、续断（盐炒）50g、莲子 50g、椿皮 50g、牡蛎（煅）50g、木香 25g、苍术（炒）50g、薏苡仁 50g、葛根 50g、陈皮 50g、甘草（炙）25g,以上二十味，粉碎成细粉，过筛，混匀，用水泛丸，干燥，即得
仙灵脾冲剂,颗粒剂,补肾强心，壮阳通痹。用于阳痿遗精，筋骨痿软，胸闷头晕，气短乏力，风湿痹痛等（也用于性机能减退的阳痿遗精，也可用于冠心病，更年期高血压，胸闷气短及风湿症）,淫羊藿 500g（按浸膏折算，每 1g 浸膏约相当于生药 5g，100g 浸膏对应 500g 生药）,取淫羊藿浸膏 100g 研细，加辅料适量，混匀，用 70~80% 乙醇适量，制成颗粒，干燥，制成 500g，即得
冬凌草糖浆,糖浆剂,清热解毒，消肿散结，利咽止痛。用于热毒壅盛所致咽喉肿痛、声音嘶哑；扁桃体炎、咽炎、口腔炎见上述证候者及癌症的辅助治疗,冬凌草 2500g,取冬凌草 2500g，加水煎煮二次，每次 1 小时，合并煎液，滤过，滤液浓缩至适量，加入蔗糖 650g，煮沸使溶解，滤过，加入防腐剂适量，加水至 1000ml，搅匀，即得
外伤止痛膏,膏剂,消肿化瘀，活血止痛。用于跌打损伤，瘀血肿痛,外伤止痛浸膏 120g、松节油 40g、水杨酸甲酯 55g、樟脑 30g、薄荷脑 35g、冰片 20g、液体石蜡 12g,以上七味，将外伤止痛浸膏与液体石蜡混合，加热熔化，加入其余松节油等五味，搅匀，涂于布上，盖衬，切成小块，即得
乐儿康糖浆,糖浆剂,益气健脾，和中开胃。用于小儿食欲不振，营养不良等症,党参 75g、太子参 75g、黄芪 75g、茯苓 50g、山药 75g、薏苡仁 75g、麦冬 75g、制何首乌 75g、大枣 25g、山楂（焦）25g、麦芽（炒）25g、陈皮 75g、桑枝 200g,以上十三味，加水煎煮二次，每次 2 小时，合并煎液，加入蔗糖 585g，炼蜜 214g，煮沸使溶解，浓缩，滤过，加入枸橼酸和防腐剂适量，加水调整总量至 970ml，混匀，即得
半枫荷药酒,酒剂,祛痰去湿。用于手脚浮肿，四肢麻痹，干湿脚气,半枫荷 17648g、走马胎 2942g、五加皮 2942g、威灵仙 2942g、川芎 2942g、海风藤 2942g、千年健 2942g、骨碎补 2942g、防风 2942g、续断 2942g、川乌（制）2942g、木瓜 2942g、当归 2942g、天南星（制）2942g、牛膝 2942g、防己 2942g、羌活 4412g、狗脊 4412g、豨莶草 4412g、秦艽 4412g、独活 4412g、杜仲 5516g、茯苓 5516g、黄芪 5516g、桑寄生 8824g,以上二十五味，加酒 1200000ml，密封，浸渍 50~60 天，滤过，即得
半夏曲,茶剂,降逆止呕，止咳化痰。用于恶心呕吐，食欲不振，咳嗽痰多,清半夏 160g、白矾 10g、六神曲 5g、生姜汁 20g（按密度 1.03g/ml 计，约 20.6g）、面粉 32g,以上五味，除生姜汁、面粉外，其余清半夏等三味粉碎成细粉；生姜汁加水适量，与面粉及上述细粉搅匀，制成粗粒或软硬适宜的小块或颗粒，发酵，干燥，即得
孕妇金花片,片剂,清热，安胎。用于孕妇头痛，眩晕，口鼻生疮，咽喉肿痛，双目赤肿，牙龈疼痛，或胎动下坠，小腹作痛，心烦不安，口干咽燥，喜冷饮，小便短黄等症,栀子（姜制）140g、金银花 140g、当归 140g、白芍 140g、川芎 140g、地黄 140g、黄芩 140g、黄柏 140g、黄连 70g,以上九味，黄芩粉碎成细粉，过筛，备用；地黄加水煎煮二次，第一次 3 小时，第二次 2 小时；栀子加水煎煮二次，第一次 3 小时，第二次 1 小时；金银花加水煎煮二次，第一次 2 小时，第二次 1 小时；合并上述各水煎液，浓缩成膏。当归照流浸膏剂与浸膏剂项下的渗漉法（附录 17 页）渗漉二次，第一次用乙醇作溶剂，第二次用 60% 乙醇作溶剂；白芍、川芎、黄柏、黄连用 60% 乙醇作溶剂，进行渗漉，合并以上渗漉液，回收乙醇，浓缩成膏。将上述二种浓缩膏合并，加入黄芩细粉及辅料适量，混匀，制成颗粒，干燥，压制成 1050 片，即得
地锦草片（血见愁片）,片剂,清热解毒，凉血止血。用于痢疾，肠炎，咳血，尿血，便血，崩漏，痈肿疮疔,地锦草 1000g,取地锦草 100g，粉碎成细粉，过筛。另取地锦草 900g 加水煎煮二次，第一次 2 小时，第二次 1 小时，合并煎液，滤过，滤液浓缩成清膏，加入地锦草细粉，混匀，制成颗粒，干燥，压制成 1000 片，包糖衣，即得
朴沉化郁丸,丸剂,舒肝化郁，开胃消食。用于胸腹胀满，消化不良，呕吐恶心，停食停水，气滞闷郁，胃脘刺痛,香附（醋制）150g、延胡索（醋制）35g、枳壳（麸炒）50g、檀香 35g、木香 35g、片姜黄 15g、柴胡 35g、厚朴（姜制）75g、丁香 35g、沉香 35g、高良姜 25g、青皮（醋制）35g、陈皮 100g、甘草 35g、豆蔻 35g、莪术（醋制）25g、砂仁 35g、肉桂 15g,以上十八味，粉碎成细粉，过筛，混匀。每 100g 粉末加炼蜜 160~180g 制成大蜜丸，即得
壮阳健威丸（参茸大补丸）,丸剂,补肾壮阳，生精益髓。用于阳虚畏寒，腰膝酸痛，阳痿,人参 150g、肉苁蓉 150g、鹿茸 300g、鹿角胶 150g、沉香 150g、杜仲（盐水炒）150g、茯苓 150g、远志（制）75g、肉桂 150g、甘草（蜜炙）75g、山药 150g、枸杞子 150g、锁阳 150g、附子（制）75g、制何首乌 150g、黄狗肾 150g,以上十六味，粉碎成细粉，过筛，混匀，每 100g 粉末加炼蜜 35~50g 与水适量，泛丸，干燥，即得
当归龙荟片,片剂,清肝明目，泻火通便。用于肝胆实热，耳聋，耳鸣，耳内生疮、胃肠湿热，头晕牙痛，眼目赤肿，大便不通,青黛 50g、芦荟 50g、龙胆 100g、黄芩 100g、木香 25g、栀子 100g、大黄 50g、当归 100g、黄柏 100g、黄连 100g,以上十味，青黛、大黄分别粉碎成细粉，过筛；栀子、龙胆加水煎煮二次；芦荟用热水溶化，加冷水五倍，搅匀，静置二日后，吸取上清液，余液滤除沉淀与上清液合并，再与水煎液合并，浓缩成膏。照流浸膏剂与浸膏剂项下的渗漉法（附录 17 页），当归分别用乙醇、60% 乙醇为溶剂进行渗漉，黄柏、黄芩、黄连、木香用 60% 乙醇为溶剂进行渗漉，合并上述渗漉液，回收乙醇，浓缩成膏。合并水、醇浓缩膏，并加入青黛等粉末及辅料适量，混匀，制成颗粒，干燥，压制成 1030 片，即得
当归调经冲剂（当归补血冲剂）,颗粒剂,补血助气，调经。用于贫血衰弱，病后、产后血虚以及月经不调，痛经,当归 300g、熟地黄 20g、川芎 10g、党参 20g、白芍 20g、甘草 10g、黄芪 20g,以上七味，川芎、白芍分别照流浸膏剂与浸膏剂项下的渗漉法（附录 17 页），川芎用 70% 乙醇为溶剂、白芍用 80% 乙醇为溶剂进行渗漉，收集渗漉液；当归用蒸馏法提取挥发油，药渣与其余熟地黄等四味加水煎煮二次，合并煎液，滤过，滤液浓缩至相对密度为 1.15~1.18，加五倍量 70% 乙醇，搅匀，静置，取上清液与上述渗漉液合并，回收乙醇，浓缩成相对密度为 1.18~1.22 的稠膏，加入蔗糖及乙醇适量，混匀，制成颗粒，干燥，过筛，喷加当归挥发油，制成 1000g，分装，即得
朱砂安神丸,丸剂,清心养血，镇惊安神。用于胸中烦热，心悸不宁，失眠多梦,朱砂 200g、黄连 300g、地黄 200g、当归 200g、甘草 100g,以上五味，朱砂水飞或粉碎成极细粉；其余黄连等四味粉碎成细粉，与上述粉末配研，过筛，混匀。每 100g 粉末加炼蜜 35~45g 与适量的水，泛丸，干燥；或加炼蜜 90~110g 制成小蜜丸或大蜜丸，即得
华佗膏（癣湿药膏）,膏剂,杀菌止痒。用于癣症湿气，脚趾癣，鹅掌风,蜡梅油 30g、樟脑 25g、苯甲酸 100g、水杨酸 50g,以上四味，另取凡士林 800g 及石蜡适量，加热熔化，滤过，加入水杨酸、苯甲酸、樟脑、蜡梅油，搅拌至全部溶解，滤过，搅成糊状，放冷，即得
